source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,29,169,4,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"pleurs | pleurs,","pleurs=[2,3,4] | pleurs,=[1,5]",,2,1,0.857,1,0.857,0,0,1.000,pleurs,"pleurs,",pleurs,pleurs,pleurs,"pleurs,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,29,169,9,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,punctuation_removed_for_graphic_key+u_v+y_i,"seruy, | servi, | servy,","seruy,=[1] | servi,=[3,4] | servy,=[2,5]",,3,2,0.667,2,0.667,0,0,1.000,serui,"seruy,","servy,","servi,","servi,","servy,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,30,175,3,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,double_consonant+final_zx_s,couroux | courroux,"couroux=[1,5] | courroux=[2,3,4]",,2,1,0.875,1,0.875,0,0,1.000,courous,couroux,courroux,courroux,courroux,couroux
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,30,175,8,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,double_consonant+punctuation_removed_for_graphic_key+u_v+y_i,assouuy. | assouvi. | assouvy.,"assouuy.=[1] | assouvi.=[3,4] | assouvy.=[2,5]",,3,2,0.750,2,0.750,0,0,1.000,asouui,assouuy.,assouvy.,assouvi.,assouvi.,assouvy.
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,31,181,2,mixed_minor_and_substantive,visible,no,visible:do_not_hide;contains_substantive_component,low_similarity_or_real_rewriting;punctuation_only,punctuation_only+substantive_default,"toy,~Soleil,~ô~toy, | toy,~qui~que~tu~sois | toy,~qui~que~tu~sois,","toy,~Soleil,~ô~toy,=[4] | toy,~qui~que~tu~sois=[1,5] | toy,~qui~que~tu~sois,=[2,3]",,3,12,0.400,12,0.400,10,10,0.333,toiquiquetusois | toisoleilotoi,"toy,~qui~que~tu~sois","toy,~qui~que~tu~sois,","toy,~qui~que~tu~sois,","toy,~Soleil,~ô~toy,","toy,~qui~que~tu~sois"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,32,187,3,minor_spacing,hide_safe,yes,masquable:rule_based,spacing_or_hyphen_only,spacing_or_hyphen_only,l’as-tu | l’as~tu,"l’as-tu=[2,3,4] | l’as~tu=[1,5]",,2,1,0.857,1,0.857,0,0,1.000,lastu,l’as~tu,l’as-tu,l’as-tu,l’as-tu,l’as~tu
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,32,187,6,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,u_v,une | vne,"une=[2,3,4,5] | vne=[1]",,2,1,0.667,1,0.667,0,0,1.000,une,vne,une,une,une,une
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,34,199,2,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,final_zx_s+spacing_or_hyphen,peus-tu | peux-tu,"peus-tu=[1,5] | peux-tu=[2,3,4]",,2,1,0.857,1,0.857,0,0,1.000,peustu,peus-tu,peux-tu,peux-tu,peux-tu,peus-tu
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,35,205,6,minor_mixed,inspect,no,inspect:do_not_hide_yet,high_graphic_similarity:0.923;historic_graphic_key_identity,apostrophe+u_v+levenshtein_alert,t’espouuantent | t’espouvantent | t’épouvantent,"t’espouuantent=[1] | t’espouvantent=[5] | t’épouvantent=[2,3,4]",,3,3,0.786,3,0.786,1,1,0.923,tepouuantent | tespouuantent,t’espouuantent,t’épouvantent,t’épouvantent,t’épouvantent,t’espouvantent
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,35,205,7,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"gueres, | gueres.","gueres,=[1,4,5] | gueres.=[2,3]",,2,1,0.857,1,0.857,0,0,1.000,gueres,"gueres,",gueres.,gueres.,"gueres,","gueres,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,36,211,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,La~race~de~Lajus | Le~seul~sang~de~Lajus,"La~race~de~Lajus=[4] | Le~seul~sang~de~Lajus=[1,2,3,5]",,2,9,0.571,9,0.571,8,8,0.529,laracedelaius | leseulsangdelaius,Le~seul~sang~de~Lajus,Le~seul~sang~de~Lajus,Le~seul~sang~de~Lajus,La~race~de~Lajus,Le~seul~sang~de~Lajus
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,36,211,5,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,vulgaires. | vulgaires~;,"vulgaires.=[2,3,4] | vulgaires~;=[1,5]",,2,2,0.818,2,0.818,0,0,1.000,uulgaires,vulgaires~;,vulgaires.,vulgaires.,vulgaires.,vulgaires~;
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,37,217,2,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,final_zx_s,peus | peux,"peus=[1,5] | peux=[2,3,4]",,2,1,0.750,1,0.750,0,0,1.000,peus,peus,peux,peux,peux,peus
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,38,223,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,accent_only,accent,Apres | Aprés,"Apres=[1,2,5] | Aprés=[3,4]",,2,1,0.800,1,0.800,0,0,1.000,apres,Apres,Apres,Aprés,Aprés,Apres
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,41,241,6,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,apostrophe+u_v,d’un | d’vn,"d’un=[2,3,4,5] | d’vn=[1]",,2,1,0.750,1,0.750,0,0,1.000,dun,d’vn,d’un,d’un,d’un,d’un
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,43,253,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," (lacune) |  Ce sang en leur donnant la lumiere céleste,"," (lacune)=[2,3,4] |  Ce sang en leur donnant la lumiere céleste,=[1,5]",,2,,,,,,,,cesangenleurdonantlalumiereceleste | lacune," Ce sang en leur donnant la lumiere céleste,", (lacune), (lacune), (lacune)," Ce sang en leur donnant la lumiere céleste,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,44,259,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," (lacune) |  Leur donna pour le crime une pente funeste, |  Leur donna pour le crime vne pente funeste,"," (lacune)=[2,3,4] |  Leur donna pour le crime une pente funeste,=[5] |  Leur donna pour le crime vne pente funeste,=[1]",,3,,,,,,,,lacune | leurdonapourlecrimeunepentefuneste," Leur donna pour le crime vne pente funeste,", (lacune), (lacune), (lacune)," Leur donna pour le crime une pente funeste,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,45,265,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna," (lacune) |  Et leurs cœurs infectez de ce fatal poison,"," (lacune)=[2,3,4] |  Et leurs cœurs infectez de ce fatal poison,=[1,5]",,2,,,,,,,,etleurscoeursinfectezdecefatalpoison | lacune," Et leurs cœurs infectez de ce fatal poison,", (lacune), (lacune), (lacune)," Et leurs cœurs infectez de ce fatal poison,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,46,271,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna, (lacune) |  S’ouurirent à la haine auant qu’à la raison. |  S’ouvrirent à la haine avant qu’à la raison.," (lacune)=[2,3,4] |  S’ouurirent à la haine auant qu’à la raison.=[1] |  S’ouvrirent à la haine avant qu’à la raison.=[5]",,3,,,,,,,,lacune | souurirentalahaineauantqualaraison, S’ouurirent à la haine auant qu’à la raison., (lacune), (lacune), (lacune), S’ouvrirent à la haine avant qu’à la raison.
